amount_spent,visits,previous_coupons,issue_coupon
5504,8,5,Yes
5588,14,4,Yes
6611,18,3,Yes
1876,20,3,No
791,18,0,No
2072,17,3,No
6643,12,0,Yes
7055,3,0,Yes
5824,8,4,Yes
1876,20,3,No
6640,9,3,Yes
1665,17,1,No
6855,1,5,No
4138,9,2,Yes
3972,6,3,Yes
8506,6,0,Yes
4175,19,5,Yes
172,7,2,No
6405,5,1,Yes
5095,11,2,Yes
3953,13,3,Yes
9021,16,0,Yes
4019,9,2,Yes
1099,13,3,No
1289,12,2,No
4903,20,2,Yes
7006,16,2,Yes
6035,4,4,Yes
1594,8,0,No
5409,4,2,Yes
8789,1,1,No
8331,8,1,Yes
6084,12,1,Yes
1868,16,2,No
8918,18,3,Yes
3752,1,2,No
1364,10,4,No
2958,18,5,No
478,5,3,No
5977,10,1,Yes
306,4,5,No
7278,16,2,Yes
2754,11,4,No
9726,10,0,Yes
6579,9,1,Yes
9260,19,4,Yes
5527,19,2,Yes
8589,10,5,Yes
4858,2,1,No
457,3,3,No
7534,9,5,Yes
7994,10,5,Yes
9873,19,1,Yes
5977,10,1,Yes
3590,5,1,Yes
5078,3,3,Yes
9546,12,4,Yes
6530,8,4,Yes
4734,10,4,Yes
6907,6,2,Yes
1364,10,4,No
8927,6,1,Yes
401,13,5,No
9124,1,3,No
3368,2,5,No
9472,7,4,Yes
1233,14,5,No
9307,20,5,Yes
4175,19,5,Yes
9876,18,0,Yes
6090,20,4,Yes
3366,1,3,No
9512,9,0,Yes
3404,12,2,Yes
6214,11,0,Yes
1273,9,3,No
3550,11,0,Yes
4919,15,5,Yes
9180,7,1,Yes
6978,15,0,Yes
8937,2,1,No
8137,15,4,Yes
8893,1,2,No
6831,12,2,Yes
491,8,5,No
8918,18,3,Yes
8375,13,1,Yes
3404,12,2,Yes
5880,8,0,Yes
6475,18,0,Yes
7534,9,5,Yes
4575,7,4,Yes
2754,11,4,No
1957,13,4,No
1708,7,4,No
1665,17,1,No
2348,9,1,No
3942,1,4,No
9387,12,5,Yes
3795,6,0,Yes
9295,13,3,Yes
1873,12,4,No
6438,12,4,Yes
7270,13,4,Yes
530,3,0,No
9483,20,1,Yes
8914,7,5,Yes
9832,20,1,Yes
9969,11,1,Yes
7405,6,5,Yes
5639,1,1,No
9832,20,1,Yes
3280,10,2,Yes
7039,9,4,Yes
2607,10,0,No
1098,18,4,No
5510,4,0,Yes
3590,5,1,Yes
3368,2,5,No
2023,10,3,No
2216,13,5,No
7935,14,0,Yes
9039,6,5,Yes
3400,5,0,Yes
7353,10,1,Yes
7268,18,4,Yes
5008,1,1,No
690,12,2,No
1787,4,4,No
3550,11,0,Yes
1120,5,2,No
6438,12,4,Yes
401,13,5,No
7268,18,4,Yes
9307,20,5,Yes
745,10,2,No
4298,12,2,Yes
7176,10,4,Yes
5409,4,2,Yes
8223,20,2,Yes
5207,13,0,Yes
9322,10,5,Yes
2051,8,4,No
5472,3,0,Yes
8888,11,5,Yes
9221,1,0,No
3668,4,4,Yes
1450,12,3,No
2028,10,4,No
5665,15,3,Yes
9541,13,1,Yes
4881,17,3,Yes
5501,4,4,Yes
6946,6,2,Yes
2937,15,1,No
6975,6,4,Yes
4429,5,0,Yes
2880,3,5,No
6530,8,4,Yes
9387,12,5,Yes
6000,2,4,No
9750,19,0,Yes
9394,2,2,No
1871,16,2,No
6786,9,0,Yes
1289,12,2,No
6855,1,5,No
1873,12,4,No
4283,1,2,No
7506,9,1,Yes
5307,17,0,Yes
424,14,2,No
6845,18,1,Yes
9832,20,1,Yes
1221,8,3,No
4269,1,4,No
737,5,2,No
2926,10,1,No
424,14,2,No
5607,13,0,Yes
737,5,2,No
7735,11,3,Yes
3710,8,1,Yes
5053,8,4,Yes
7686,19,3,Yes
4755,15,2,Yes
4944,9,0,Yes
893,2,0,No
9263,7,1,Yes
5183,11,2,Yes
9295,13,3,Yes
4078,9,0,Yes
3972,6,3,Yes
3390,16,4,Yes
4205,7,4,Yes
6987,12,5,Yes
1506,4,4,No
8476,18,2,Yes
896,20,3,No
8012,12,2,Yes
7109,7,2,Yes
7592,19,4,Yes
6987,12,5,Yes
4684,3,4,Yes
5185,8,3,Yes
5254,15,4,Yes
5153,2,1,No
9800,8,2,Yes
4202,1,4,No
8924,7,4,Yes
5053,8,4,Yes
1044,8,3,No
9295,13,3,Yes
4932,5,0,Yes
5990,8,5,Yes
5899,7,5,Yes
5183,11,2,Yes
176,9,2,No
1334,6,5,No
737,5,2,No
654,3,0,No
5629,6,2,Yes
424,14,2,No
9747,11,4,Yes
232,19,4,No
410,15,5,No
8949,3,0,Yes
3410,18,1,Yes
2842,18,5,No
1334,6,5,No
4806,3,2,Yes
6579,9,1,Yes
7532,12,3,Yes
9180,7,1,Yes
1625,13,4,No
5322,14,1,Yes
6028,3,3,Yes
851,1,5,No
5872,8,5,Yes
9363,1,1,No
6906,15,3,Yes
5185,8,3,Yes
6916,19,2,Yes
3400,5,0,Yes
428,1,4,No
5504,8,5,Yes
6919,11,1,Yes
1924,1,4,No
356,8,1,No
9243,3,3,Yes
8533,15,1,Yes
1192,2,0,No
5872,8,5,Yes
232,19,4,No
5527,19,2,Yes
5796,11,3,Yes
8917,16,0,Yes
5197,17,1,Yes
4744,3,3,Yes
6968,7,3,Yes
737,5,2,No
7050,4,5,Yes
1829,14,4,No
6845,18,1,Yes
8801,6,5,Yes
7122,5,3,Yes
7506,9,1,Yes
5481,5,0,Yes
3710,8,1,Yes
6725,15,0,Yes
1871,13,1,No
3666,2,4,No
7532,12,3,Yes
5701,14,1,Yes
8664,17,4,Yes
5872,8,5,Yes
9613,5,0,Yes
3942,1,4,No
2216,13,5,No
2029,9,1,No
621,19,1,No
6264,10,1,Yes
2117,19,5,No
1873,12,4,No
5049,16,1,Yes
273,8,5,No
3795,6,0,Yes
8113,9,1,Yes
6475,18,0,Yes
5008,1,1,No
752,2,0,No
9363,1,1,No
4932,5,0,Yes
4985,10,2,Yes
7012,2,5,No
4202,1,4,No
2273,6,2,No
2825,10,3,No
3366,1,3,No
6950,8,3,Yes
5443,9,1,Yes
977,4,2,No
7405,6,5,Yes
7994,10,5,Yes
9538,11,2,Yes
6530,8,4,Yes
4578,15,5,Yes
841,13,0,No
2216,13,5,No
2838,7,1,No
2649,6,3,No
9861,3,0,Yes
896,20,3,No
428,1,4,No
2880,3,5,No
3783,5,4,Yes
5409,4,2,Yes
5623,10,4,Yes
2684,15,5,No
6028,3,3,Yes
7901,15,4,Yes
4669,15,3,Yes
1797,5,4,No
4744,3,3,Yes
4803,3,3,Yes
2284,15,4,No
9613,5,0,Yes
244,4,3,No
1868,16,2,No
1170,13,4,No
5425,6,4,Yes
6374,5,1,Yes
6264,10,1,Yes
752,2,0,No
1708,7,4,No
9726,18,1,Yes
1273,9,3,No
273,8,5,No
4235,11,1,Yes
7403,2,4,No
8476,18,2,Yes
6845,18,1,Yes
5990,8,5,Yes
3410,18,1,Yes
5547,5,5,Yes
5880,8,0,Yes
8801,6,5,Yes
6084,12,1,Yes
5797,4,0,Yes
1566,8,0,No
9028,14,5,Yes
4266,20,5,Yes
7901,15,4,Yes
7302,14,5,Yes
7245,9,3,Yes
4266,20,5,Yes
6860,17,1,Yes
6906,15,3,Yes
9483,20,1,Yes
7391,1,1,No
2060,13,2,No
6830,2,3,No
9191,16,5,Yes
9800,8,2,Yes
536,20,4,No
3637,17,4,Yes
6906,15,3,Yes
3259,4,0,Yes
5053,8,4,Yes
781,15,3,No
2440,3,5,No
8875,7,1,Yes
4266,20,5,Yes
8156,3,1,Yes
6915,4,5,Yes
3795,6,0,Yes
1924,1,4,No
428,1,4,No
781,15,3,No
781,15,3,No
5977,10,1,Yes
4202,1,4,No
7532,12,3,Yes
4513,16,5,Yes
9643,18,2,Yes
7686,19,3,Yes
2440,3,5,No
3400,5,0,Yes
1315,11,2,No
4758,16,0,Yes
5481,5,0,Yes
8934,5,5,Yes
8636,10,5,Yes
7617,5,4,Yes
2461,14,5,No
5852,5,5,Yes
752,2,0,No
8156,3,1,Yes
9546,12,4,Yes
7405,6,5,Yes
6084,12,1,Yes
5279,5,4,Yes
8914,7,5,Yes
3624,19,2,Yes
1871,19,0,No
8801,6,5,Yes
702,12,5,No
9322,10,5,Yes
7278,16,2,Yes
5278,4,0,Yes
2352,1,2,No
1261,1,2,No
5318,6,5,Yes
5104,9,2,Yes
8012,12,2,Yes
7012,2,5,No
5455,11,5,Yes
5095,11,2,Yes
4405,12,5,Yes
3590,5,1,Yes
6611,18,3,Yes
7534,9,5,Yes
7961,12,1,Yes
2754,11,4,No
6987,12,5,Yes
2456,20,2,No
2348,9,1,No
791,18,0,No
6946,6,2,Yes
8506,6,0,Yes
7935,14,0,Yes
6374,5,1,Yes
6216,5,3,Yes
862,3,0,No
8918,18,3,Yes
4578,15,5,Yes
5629,6,2,Yes
6065,20,4,Yes
5409,4,2,Yes
6907,6,2,Yes
9259,6,3,Yes
8630,20,2,Yes
2604,6,4,No
8506,6,0,Yes
841,13,0,No
9832,20,1,Yes
9532,13,4,Yes
4202,1,4,No
2060,13,2,No
5758,13,3,Yes
3532,9,3,Yes
9755,17,4,Yes
9263,7,1,Yes
325,11,5,No
1326,16,4,No
9243,3,3,Yes
5872,8,5,Yes
2247,20,0,No
6907,6,2,Yes
9546,7,2,Yes
1871,13,1,No
1099,13,3,No
6216,5,3,Yes
428,1,4,No
9363,1,1,No
4903,20,2,Yes
9584,13,2,Yes
5899,7,5,Yes
2244,10,0,No
401,13,5,No
6995,4,4,Yes
8021,12,1,Yes
7268,18,4,Yes
8664,17,4,Yes
4755,15,2,Yes
9541,13,1,Yes
5588,14,4,Yes
8381,16,0,Yes
6065,20,4,Yes
8375,13,1,Yes
4919,15,5,Yes
4858,2,1,No
2754,11,4,No
101,17,3,No
3535,8,3,Yes
8908,7,2,Yes
7592,19,4,Yes
8914,7,5,Yes
6995,4,4,Yes
9132,19,4,Yes
5916,6,3,Yes
9295,13,3,Yes
3535,8,3,Yes
9728,3,3,Yes
1871,13,1,No
2352,1,2,No
1715,16,5,No
1221,8,3,No
9750,19,0,Yes
8937,2,1,No
2440,3,5,No
9969,11,1,Yes
3072,5,3,Yes
5197,17,1,Yes
5307,17,0,Yes
8664,17,4,Yes
2825,10,3,No
5044,11,1,Yes
4298,12,2,Yes
6090,20,4,Yes
8630,20,2,Yes
6518,10,5,Yes
6475,18,0,Yes
3494,19,4,Yes
8506,6,0,Yes
1515,18,5,No
2528,19,3,No
8888,11,5,Yes
3662,3,0,Yes
530,3,0,No
9726,10,0,Yes
2842,18,5,No
6221,14,5,Yes
9944,5,3,Yes
9021,16,0,Yes
536,20,4,No
9830,3,2,Yes
9937,10,1,Yes
7107,18,2,Yes
2060,13,2,No
1116,10,5,No
1116,10,5,No
1480,8,5,No
7998,20,4,Yes
5034,4,3,Yes
8160,7,2,Yes
7379,13,2,Yes
7538,3,4,Yes
759,6,5,No
5104,9,2,Yes
7115,6,4,Yes
3966,12,2,Yes
9221,1,0,No
7538,3,4,Yes
5607,13,0,Yes
8328,14,4,Yes
6221,14,5,Yes
2490,1,1,No
8435,15,0,Yes
4881,14,5,Yes
8927,6,1,Yes
2754,11,4,No
1797,5,4,No
2522,20,4,No
9124,1,3,No
9483,20,1,Yes
7302,14,5,Yes
2506,2,5,No
1989,8,2,No
8670,20,5,Yes
2244,10,0,No
2440,3,5,No
7481,20,5,Yes
4522,8,1,Yes
9259,6,3,Yes
3400,5,0,Yes
3795,6,0,Yes
1233,14,5,No
8670,20,5,Yes
9747,11,4,Yes
459,19,4,No
1873,12,4,No
3927,3,3,Yes
4700,7,3,Yes
9221,1,0,No
9132,19,4,Yes
706,5,0,No
9690,18,0,Yes
5440,7,4,Yes
7592,19,4,Yes
8891,18,1,Yes
2284,15,4,No
9999,20,0,Yes
9215,2,2,No
3783,5,4,Yes
9944,5,3,Yes
6325,5,3,Yes
6028,3,3,Yes
244,4,3,No
3231,10,3,Yes
4408,3,3,Yes
5078,3,3,Yes
9944,5,3,Yes
1261,1,2,No
2273,6,2,No
5588,14,4,Yes
1787,4,4,No
5440,7,4,Yes
1204,2,1,No
6303,13,3,Yes
9260,19,4,Yes
9295,13,3,Yes
6890,19,0,Yes
4269,1,4,No
7870,3,1,Yes
7176,10,4,Yes
8589,10,5,Yes
4441,4,1,Yes
5880,8,0,Yes
6831,12,2,Yes
6028,3,3,Yes
8713,14,3,Yes
2604,6,4,No
9690,18,0,Yes
9243,3,3,Yes
2506,2,5,No
4932,5,0,Yes
6138,9,4,Yes
952,6,0,No
8937,2,1,No
9180,7,1,Yes
5797,4,0,Yes
8346,4,4,Yes
176,9,2,No
4744,3,3,Yes
832,4,4,No
7512,15,4,Yes
4009,2,2,No
752,2,0,No
9873,19,1,Yes
6906,15,3,Yes
2107,9,4,No
9619,4,1,Yes
8789,1,1,No
1385,16,3,No
1116,10,5,No
6855,1,5,No
5916,6,3,Yes
4741,20,4,Yes
9726,10,0,Yes
135,13,2,No
4575,7,4,Yes
5222,18,1,Yes
8636,10,5,Yes
7592,19,4,Yes
7024,11,0,Yes
6968,7,3,Yes
1364,10,4,No
5981,12,4,Yes
1020,12,2,No
896,20,3,No
1233,14,5,No
5758,13,3,Yes
4408,3,3,Yes
4919,15,5,Yes
2117,19,5,No
5782,11,2,Yes
2392,1,4,No
8113,9,1,Yes
8718,18,0,Yes
7245,9,3,Yes
8299,18,4,Yes
8328,14,4,Yes
6831,12,2,Yes
5324,20,4,Yes
3465,19,4,Yes
6212,1,1,No
6855,1,5,No
4266,20,5,Yes
1873,12,4,No
8331,8,1,Yes
4092,2,4,No
9546,7,2,Yes
1243,7,4,No
101,17,3,No
8934,5,5,Yes
325,11,5,No
9662,19,3,Yes
2825,10,3,No
9750,19,0,Yes
9394,2,2,No
135,13,2,No
7065,8,3,Yes
4903,20,2,Yes
2825,10,3,No
3261,1,5,No
5254,15,4,Yes
9937,10,1,Yes
9726,18,1,Yes
6438,12,4,Yes
8160,7,2,Yes
8012,12,2,Yes
5639,1,1,No
8664,17,4,Yes
572,5,2,No
4932,5,0,Yes
5977,10,1,Yes
810,17,3,No
5547,5,5,Yes
1708,7,4,No
2962,2,0,No
3986,13,2,Yes
6279,18,3,Yes
9312,16,0,Yes
172,7,2,No
2456,20,2,No
4881,14,5,Yes
862,3,0,No
5440,7,4,Yes
7935,14,0,Yes
8381,16,0,Yes
2958,18,5,No
459,19,4,No
5636,4,3,Yes
4510,5,1,Yes
9312,16,0,Yes
5104,9,2,Yes
8533,15,1,Yes
8381,16,0,Yes
7302,14,5,Yes
781,15,3,No
1843,10,4,No
3773,4,3,Yes
3756,17,2,Yes
3557,9,3,Yes
3465,19,4,Yes
7971,6,1,Yes
1480,8,5,No
952,6,0,No
6040,10,1,Yes
1407,8,2,No
9405,20,2,Yes
2473,6,0,No
7506,9,1,Yes
2514,14,3,No
2107,9,4,No
1320,6,4,No
9221,1,0,No
9541,13,1,Yes
5283,1,5,No
8223,20,2,Yes
1787,4,4,No
1843,10,4,No
2456,20,2,No
9538,11,2,Yes
2522,20,4,No
5472,10,2,Yes
2051,8,4,No
1835,1,3,No
6374,5,1,Yes
9861,3,0,Yes
3532,9,3,Yes
186,3,1,No
9263,7,1,Yes
5455,11,5,Yes
4881,17,3,Yes
4405,12,5,Yes
2649,6,3,No
5792,3,4,Yes
3821,3,0,Yes
273,8,5,No
8809,3,4,Yes
5185,8,3,Yes
8917,16,0,Yes
7998,20,4,Yes
5443,9,1,Yes
7162,12,0,Yes
1868,16,2,No
9890,15,4,Yes
572,5,2,No
654,3,0,No
135,13,2,No
8661,4,3,Yes
3637,17,4,Yes
7592,19,4,Yes
6916,19,2,Yes
3557,9,3,Yes
8949,3,0,Yes
6574,13,5,Yes
4932,5,0,Yes
7592,19,4,Yes
1192,2,0,No
4092,2,4,No
7534,9,5,Yes
9690,18,0,Yes
3741,5,0,Yes
4202,1,4,No
6090,20,4,Yes
2506,2,5,No
3280,10,2,Yes
9519,3,1,Yes
3752,1,2,No
472,10,1,No
9546,7,2,Yes
4427,13,3,Yes
2485,8,0,No
5623,10,4,Yes
5318,6,5,Yes
3222,20,0,Yes
9969,11,1,Yes
1326,16,4,No
7221,9,5,Yes
3680,19,1,Yes
4758,16,0,Yes
1243,7,4,No
793,14,5,No
6279,18,3,Yes
9939,20,2,Yes
6118,18,0,Yes
7050,4,5,Yes
6467,20,4,Yes
1329,4,0,No
1289,12,2,No
2301,10,1,No
7245,9,3,Yes
7907,4,2,Yes
2284,15,4,No
977,4,2,No
896,20,3,No
244,4,3,No
1625,13,4,No
6475,18,0,Yes
9944,5,3,Yes
4908,14,4,Yes
1974,18,3,No
5153,2,1,No
4803,3,3,Yes
2216,13,5,No
5726,3,2,Yes
9512,9,0,Yes
9538,11,2,Yes
4019,9,2,Yes
9260,19,4,Yes
841,13,0,No
781,15,3,No
3783,5,4,Yes
6195,15,5,Yes
9259,6,3,Yes
1364,10,4,No
1109,5,4,No
6202,1,1,No
1989,8,2,No
9873,19,1,Yes
7039,9,4,Yes
1450,12,3,No
9619,4,1,Yes
8722,12,2,Yes
3465,19,4,Yes
8328,14,4,Yes
6028,3,3,Yes
459,19,4,No
9425,10,2,Yes
186,3,1,No
6311,6,3,Yes
7065,8,3,Yes
8446,13,0,Yes
5278,4,0,Yes
6325,5,3,Yes
6995,4,4,Yes
1233,14,5,No
2490,1,1,No
5527,19,2,Yes
2392,1,4,No
929,6,1,No
1463,4,1,No
929,6,1,No
1924,1,4,No
4700,7,3,Yes
8446,13,0,Yes
8652,12,0,Yes
6843,2,1,No
459,19,4,No
4202,1,4,No
478,5,3,No
9728,3,3,Yes
2514,14,3,No
9832,20,1,Yes
4908,14,4,Yes
7534,9,5,Yes
1974,18,3,No
4996,3,1,Yes
2352,1,2,No
1594,4,4,No
4881,17,3,Yes
706,5,0,No
6138,9,4,Yes
3259,4,0,Yes
5916,6,3,Yes
9363,1,1,No
1329,4,0,No
3410,18,1,Yes
2625,20,4,No
6919,11,1,Yes
3231,10,3,Yes
4925,5,1,Yes
5503,14,2,Yes
1566,8,0,No
9169,7,5,Yes
4298,12,2,Yes
7205,14,5,Yes
5924,5,3,Yes
1868,16,2,No
4283,1,2,No
4522,18,3,Yes
3575,20,0,Yes
9546,7,2,Yes
8113,9,1,Yes
9322,10,5,Yes
1625,13,4,No
2029,9,1,No
3683,17,0,Yes
4925,5,1,Yes
4663,15,0,Yes
7379,13,2,Yes
2072,17,3,No
4803,3,3,Yes
4881,17,3,Yes
9602,20,5,Yes
6831,12,2,Yes
6090,20,4,Yes
1385,16,3,No
1149,9,3,No
7870,3,1,Yes
5472,3,0,Yes
7512,15,4,Yes
8446,13,0,Yes
6214,11,0,Yes
8160,7,2,Yes
2649,6,3,No
5639,1,1,No
3557,9,3,Yes
3795,6,0,Yes
325,11,5,No
1463,4,1,No
2607,10,0,No
1594,8,0,No
4009,2,2,No
3913,6,1,Yes
7907,4,2,Yes
491,8,5,No
5183,11,2,Yes
952,6,0,No
7032,13,4,Yes
1192,2,0,No
1715,16,5,No
2029,9,1,No
8888,11,5,Yes
5278,4,0,Yes
1020,12,2,No
702,12,5,No
702,12,5,No
266,17,5,No
5248,1,4,No
1871,13,1,No
1430,2,5,No
9747,11,4,Yes
1430,2,5,No
5758,13,3,Yes
5440,7,4,Yes
5504,8,5,Yes
3668,4,4,Yes
7592,19,4,Yes
3783,5,4,Yes
1708,7,4,No
7109,7,2,Yes
5049,16,1,Yes
1924,1,4,No
7024,11,0,Yes
8299,18,4,Yes
1957,13,4,No
7353,10,1,Yes
8021,12,1,Yes
3966,12,2,Yes
5593,5,3,Yes
1829,14,4,No
7024,11,0,Yes
2284,15,4,No
3535,8,3,Yes
6968,7,3,Yes
654,3,0,No
2072,17,3,No
2528,19,3,No
4908,14,4,Yes
4019,9,2,Yes
7617,5,4,Yes
4175,19,5,Yes
8446,13,0,Yes
8375,13,1,Yes
8917,16,0,Yes
2619,1,2,No
9969,11,1,Yes
5183,11,2,Yes
2528,19,3,No
8888,11,5,Yes
8346,4,4,Yes
3752,15,5,Yes
1315,11,2,No
9832,20,1,Yes
4755,15,2,Yes
4669,15,3,Yes
5049,16,1,Yes
9726,18,1,Yes
1049,8,1,No
5824,8,4,Yes
7162,12,0,Yes
8346,4,4,Yes
9307,20,5,Yes
2109,5,5,No
5324,20,4,Yes
893,2,0,No
7166,3,4,Yes
4669,15,3,Yes
7039,9,4,Yes
6340,5,1,Yes
824,13,1,No
6405,5,1,Yes
9861,3,0,Yes
3400,5,0,Yes
7162,12,0,Yes
4429,5,0,Yes
4408,3,3,Yes
5665,15,3,Yes
2604,6,4,No
9215,2,2,No
7245,9,3,Yes
8891,18,1,Yes
6429,17,3,Yes
7039,9,4,Yes
6915,4,5,Yes
9260,19,4,Yes
6337,6,1,Yes
1087,3,5,No
9800,8,2,Yes
6987,12,5,Yes
5503,14,2,Yes
5528,12,5,Yes
1625,13,4,No
5472,10,2,Yes
8205,9,2,Yes
3465,19,4,Yes
6643,12,0,Yes
4009,2,2,No
2977,4,4,No
5307,17,0,Yes
9138,5,3,Yes
232,19,4,No
1334,6,5,No
5701,14,1,Yes
9937,10,1,Yes
690,12,2,No
2684,15,5,No
3231,10,3,Yes
8131,12,1,Yes
3752,1,2,No
5636,4,3,Yes
5207,13,0,Yes
491,8,5,No
3557,9,3,Yes
6992,12,2,Yes
9728,3,3,Yes
1957,13,4,No
4074,15,3,Yes
3966,12,2,Yes
401,13,5,No
244,4,3,No
6696,11,1,Yes
851,1,5,No
5044,11,1,Yes
3143,16,1,Yes
8950,9,1,Yes
8021,12,1,Yes
2313,10,4,No
8476,18,2,Yes
4806,3,2,Yes
6950,8,3,Yes
7162,12,0,Yes
6429,17,3,Yes
2514,14,3,No
1566,8,0,No
4522,18,3,Yes
5283,6,0,Yes
6906,15,3,Yes
2022,16,2,No
8446,13,0,Yes
2117,19,5,No
6640,9,3,Yes
6786,9,0,Yes
7686,19,3,Yes
1578,2,4,No
9263,7,1,Yes
4429,5,0,Yes
5588,14,4,Yes
5455,11,5,Yes
8012,17,5,Yes
1957,13,4,No
2962,2,0,No
9298,11,0,Yes
841,13,0,No
4684,3,4,Yes
1450,12,3,No
5880,8,0,Yes
6530,8,4,Yes
562,12,0,No
6340,5,1,Yes
6950,8,3,Yes
6916,19,2,Yes
6978,15,0,Yes
6640,9,3,Yes
4744,3,3,Yes
5636,4,3,Yes
8476,18,2,Yes
5248,1,4,No
8012,17,5,Yes
5636,4,3,Yes
832,4,4,No
3783,5,4,Yes
7278,16,2,Yes
4734,10,4,Yes
7887,18,5,Yes
9483,20,1,Yes
2977,4,4,No
1261,1,2,No
572,5,2,No
7425,2,2,No
6336,15,3,Yes
752,2,0,No
6475,18,0,Yes
9861,3,0,Yes
2273,6,2,No
9698,13,1,Yes
2417,12,5,No
7646,12,4,Yes
7205,14,5,Yes
3821,3,0,Yes
1797,5,4,No
8722,12,2,Yes
9690,18,0,Yes
3953,13,3,Yes
3942,1,4,No
4925,5,1,Yes
3668,4,4,Yes
6221,14,5,Yes
4932,5,0,Yes
1149,9,3,No
7176,10,4,Yes
5279,5,4,Yes
5593,5,3,Yes
1385,16,3,No
4544,2,0,No
3792,10,3,Yes
4522,8,1,Yes
5222,18,1,Yes
8223,20,2,Yes
5872,8,5,Yes
4522,18,3,Yes
8891,18,1,Yes
9546,7,2,Yes
1974,18,3,No
9132,19,4,Yes
478,5,3,No
3942,1,4,No
6125,19,1,Yes
6950,8,3,Yes
7055,3,0,Yes
3072,5,3,Yes
3404,12,2,Yes
5996,9,0,Yes
5322,14,1,Yes
2619,1,2,No
9619,4,1,Yes
3259,4,0,Yes
9546,12,4,Yes
2109,5,5,No
7337,7,0,Yes
6518,10,5,Yes
6897,14,3,Yes
5665,15,3,Yes
4932,5,0,Yes
2440,3,5,No
2485,8,0,No
913,6,4,No
4925,5,1,Yes
5510,4,0,Yes
6906,15,3,Yes
7784,7,4,Yes
1170,13,4,No
7534,9,5,Yes
1326,16,4,No
1480,8,5,No
9944,5,3,Yes
9728,3,3,Yes
9363,1,1,No
2649,6,3,No
5504,8,5,Yes
1049,8,1,No
1797,5,4,No
5443,9,1,Yes
186,3,1,No
7686,19,3,Yes
8375,13,1,Yes
8937,2,1,No
5167,14,5,Yes
5918,11,3,Yes
3752,15,5,Yes
8893,1,2,No
977,4,2,No
4684,3,4,Yes
2247,20,0,No
9021,16,0,Yes
5916,6,3,Yes
7050,4,5,Yes
7784,7,4,Yes
1708,7,4,No
2284,15,4,No
3490,6,3,Yes
759,6,5,No
7379,13,2,Yes
2216,13,5,No
8670,20,5,Yes
3972,6,3,Yes
6224,5,2,Yes
5324,20,4,Yes
7403,2,4,No
737,5,2,No
8435,15,0,Yes
4513,16,5,Yes
6640,9,3,Yes
1989,8,2,No
5918,11,3,Yes
6325,5,3,Yes
9750,19,0,Yes
621,19,1,No
428,1,4,No
6860,17,1,Yes
5185,8,3,Yes
6324,11,4,Yes
7940,6,0,Yes
8331,8,1,Yes
1407,8,2,No
3741,5,0,Yes
5741,10,0,Yes
4202,1,4,No
6653,15,0,Yes
9387,12,5,Yes
6916,19,2,Yes
3404,12,2,Yes
3795,6,0,Yes
2313,10,4,No
4405,12,5,Yes
5307,17,0,Yes
4996,3,1,Yes
5322,14,1,Yes
4235,11,1,Yes
1098,18,4,No
1871,19,0,No
4881,17,3,Yes
4019,9,2,Yes
6534,16,0,Yes
6000,2,4,No
7107,18,2,Yes
5053,8,4,Yes
4734,10,4,Yes
9876,18,0,Yes
7935,14,0,Yes
706,5,0,No
9969,11,1,Yes
5636,4,3,Yes
9295,13,3,Yes
4908,14,4,Yes
9890,15,4,Yes
